sourceProcess,elementType,id,name,sourceFile
end-to-end,RoleDefinition,role.sponsor,Sponsor,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.product-owner,Product Owner,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.delivery-lead,Delivery Lead,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.business-modeler,Business Modeler,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.requirements-engineer,Requirements Engineer,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.domain-expert,Domain Expert,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.solution-architect,Solution Architect,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.cloud-platform-engineer,Cloud Platform Engineer,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.quality-engineer,Quality Engineer,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.security-engineer,Security Engineer,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.release-engineer,Release Engineer,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.service-owner,Service Owner,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.process-reviewer,Process Reviewer,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.method-engineer,Method Engineer,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.finops-cost-analyst,FinOps and Cost Analyst,mde/process/definitions/end-to-end.json
end-to-end,RoleDefinition,role.records-data-steward,Records and Data Steward,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st1.t1,Define product outcomes and success measures,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st1.t2,Establish the initial release and increment hypothesis,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st1a.t1,Assess feasibility and serverless suitability,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st1a.t2,Establish cost model and budget guardrails,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st1a.t3,"Authorize pursue, explore, redirect, or stop at G0",mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st2.t1,Assess context and process-tailoring risks,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st2.t2,Define the tailored Definition of Ready and Done,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st3.t1,Define team ownership and interfaces,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st3.t2,Set coordination cadence and escalation paths,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st4.t1,Define quality and security control objectives,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st4.t2,Define operational and release strategy,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p0.increment-planning.t1,Plan the vertical increment,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p1.cim-modeling.t1,Run the CIM increment,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p2.cim-to-pim.t1,Execute and inspect CIM-to-PIM transformation,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p3.pim-refinement.t1,Run the PIM increment,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p4.pim-to-psm.t1,Execute and inspect PIM-to-PSM transformation,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p5.psm-refinement.t1,Run the PSM increment,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p6.m2t-generation.t1,Generate and fingerprint the artifact baseline,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p7.artifact-completion.t1,Run artifact readiness and accept the increment,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p7.artifact-completion.t2,Review the increment and adapt the way of working,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.rel.a1.t1,Assemble the release candidate,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.rel.a1.t2,Review release evidence and go/no-go criteria,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.rel.a2.t1,Deploy and validate progressively,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.rel.a2.t2,Complete handover and rollback rehearsal,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.rel.a3.t1,Review release outcome and update roadmap,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph2.st1.t1,Approve retirement scope and plan,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph2.st2.t1,Execute migration and data disposition,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph2.st2.t2,"Decommission service, access, and cost surfaces",mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph2.st2.t3,Verify records retention and data disposition,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph2.st3.t1,Complete closure review,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ops.a1.t1,"Review SLOs, telemetry, cost, and product outcomes",mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ops.a2.t1,Triage and make service demand ready,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ops.a2.t2,"Replenish, pull, and manage Kanban flow",mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ops.a3.t1,Manage incidents and emergency recovery,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ops.a3.t2,Perform problem and risk learning,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ops.a4.t1,Assess and route a maintenance change,mde/process/definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ops.a5.t1,"Inspect flow, quality, cost, and coordination metrics",mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.product-charter,Product and System Charter,mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.serverless-suitability,Feasibility and Serverless Suitability Record,mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.cost-model,Cost Model and Budget Guardrails,mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.risk-register,Risk and Opportunity Register,mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.method-profile,Situational Method Profile,mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.team-topology,Team Topology and Dependency Map,mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.increment-record,Increment and Integrated Plan Record,mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.release-record,"Release, Recovery, Handover and Promotion Record",mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.operations-record,"Operational Evidence, Incident and Change Record",mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.improvement-record,Retrospective and Improvement Record,mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.operational-work-item,Service Work Item,mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.service-flow-system,Kanban Service-Delivery Policy and Board,mde/process/definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.retirement-record,"Retirement, Data-Disposition and Closure Record",mde/process/definitions/end-to-end.json
end-to-end,Guidance,e2e.guid.incremental-vertical,Thin vertical increments,mde/process/definitions/end-to-end.json
