work_product_id,name,method_work_product_ids,source_processes,producer_tasks,consumer_tasks,hypothetical_instance,status
artifact.environment-contract,Environment Configuration Contract,,artifact,task.artifact.ph2.st1.t1 | task.artifact.ph2.st1.t2 | task.artifact.ph2.st2.t2,task.artifact.ph2.st1.t2 | task.artifact.ph2.st2.t1 | task.artifact.ph2.st2.t2 | task.artifact.ph3.st1.t1 | task.artifact.ph3.st1.t2 | task.artifact.ph3.st2.t1 | task.artifact.ph3.st2.t2 | task.artifact.ph4.st1.t1 | task.artifact.ph4.st2.t1 | task.artifact.ph4.st2.t2,CS-ARTIFACT-ENVIRONMENT-CONTRACT-V1,simulated-produced-and-reviewed
artifact.generated-baseline,Generated Project Baseline,,artifact,task.artifact.ph1.st1.t1 | task.artifact.ph1.st1.t2 | task.artifact.ph1.st2.t1 | task.artifact.ph1.st2.t2,task.artifact.ph1.st1.t2 | task.artifact.ph1.st2.t1 | task.artifact.ph1.st2.t2 | task.artifact.ph2.st1.t1 | task.artifact.ph2.st1.t2 | task.artifact.ph2.st2.t1 | task.artifact.ph2.st2.t2 | task.artifact.ph3.st1.t1 | task.artifact.ph3.st1.t2 | task.artifact.ph3.st2.t1 | task.artifact.ph4.st2.t1,CS-ARTIFACT-GENERATED-BASELINE-V1,simulated-produced-and-reviewed
artifact.operations-pack,Operations Handover Pack,,artifact,task.artifact.ph3.st2.t2 | task.artifact.ph4.st2.t1 | task.artifact.ph4.st2.t2,task.artifact.ph4.st1.t1 | task.artifact.ph4.st1.t2 | task.artifact.ph4.st2.t2,CS-ARTIFACT-OPERATIONS-PACK-V1,simulated-produced-and-reviewed
artifact.release-plan,Release & Rollback Plan,,artifact,task.artifact.ph4.st1.t1 | task.artifact.ph4.st1.t2,task.artifact.ph4.st1.t2 | task.artifact.ph4.st2.t1 | task.artifact.ph4.st2.t2,CS-ARTIFACT-RELEASE-PLAN-V1,simulated-produced-and-reviewed
artifact.security-record,Security Review Record,,artifact,task.artifact.ph2.st1.t2 | task.artifact.ph2.st2.t1 | task.artifact.ph3.st1.t2 | task.artifact.ph4.st1.t2,task.artifact.ph2.st2.t1 | task.artifact.ph2.st2.t2 | task.artifact.ph3.st1.t1 | task.artifact.ph3.st1.t2 | task.artifact.ph3.st2.t1 | task.artifact.ph3.st2.t2 | task.artifact.ph4.st1.t1 | task.artifact.ph4.st1.t2 | task.artifact.ph4.st2.t1 | task.artifact.ph4.st2.t2,CS-ARTIFACT-SECURITY-RECORD-V1,simulated-produced-and-reviewed
artifact.verification-evidence,Verification Evidence,,artifact,task.artifact.ph3.st1.t1 | task.artifact.ph3.st1.t2 | task.artifact.ph3.st2.t1 | task.artifact.ph3.st2.t2 | task.artifact.ph4.st2.t2,task.artifact.ph3.st1.t2 | task.artifact.ph3.st2.t1 | task.artifact.ph3.st2.t2 | task.artifact.ph4.st1.t1 | task.artifact.ph4.st1.t2 | task.artifact.ph4.st2.t1 | task.artifact.ph4.st2.t2,CS-ARTIFACT-VERIFICATION-EVIDENCE-V1,simulated-produced-and-reviewed
cim-artifact.aggregate-model,Aggregate Boundary Model,,cim,task.cim.ph4.st1.t1,task.cim.ph4.st2.ss1.t1,CS-CIM-ARTIFACT-AGGREGATE-MODEL-V1,simulated-produced-and-reviewed
cim-artifact.behavior-surface,CQRS Behavior Surface,,cim,task.cim.ph3.st3.ss1.t1 | task.cim.ph3.st3.ss2.t1 | task.cim.ph3.st3.ss3.t1,task.cim.ph3.st3.ss2.t1 | task.cim.ph3.st3.ss3.t1 | task.cim.ph4.st1.t1 | task.cim.ph4.st2.ss1.t1 | task.cim.ph4.st2.ss2.t1 | task.cim.ph4.st3.t1 | task.cim.ph5.st1.t1 | task.cim.ph5.st3.t1,CS-CIM-ARTIFACT-BEHAVIOR-SURFACE-V1,simulated-produced-and-reviewed
cim-artifact.capability-map,Capability,,cim,task.cim.ph2.st2.t1 | task.cim.ph2.st2.t2,task.cim.ph2.st2.t2 | task.cim.ph2.st3.t1 | task.cim.ph3.st2.ss1.t1 | task.cim.ph3.st3.ss1.t1 | task.cim.ph4.st1.t1 | task.cim.ph4.st3.t1,CS-CIM-ARTIFACT-CAPABILITY-MAP-V1,simulated-produced-and-reviewed
cim-artifact.context-map,Bounded Context Map,,cim,task.cim.ph4.st3.t1,task.cim.ph5.st1.t1 | task.cim.ph5.st2.t1 | task.cim.ph5.st3.t1,CS-CIM-ARTIFACT-CONTEXT-MAP-V1,simulated-produced-and-reviewed
cim-artifact.decision-model,Decision & Policy Model,,cim,task.cim.ph4.st2.ss2.t1,task.cim.ph4.st3.t1 | task.cim.ph5.st1.t1 | task.cim.ph5.st2.t1 | task.cim.ph5.st3.t1,CS-CIM-ARTIFACT-DECISION-MODEL-V1,simulated-produced-and-reviewed
cim-artifact.domain-structure,Domain Structure Model,,cim,task.cim.ph3.st2.ss1.t1 | task.cim.ph3.st2.ss2.t1,task.cim.ph3.st2.ss2.t1 | task.cim.ph3.st3.ss1.t1 | task.cim.ph3.st3.ss3.t1 | task.cim.ph4.st1.t1 | task.cim.ph4.st2.ss1.t1 | task.cim.ph4.st2.ss2.t1 | task.cim.ph4.st3.t1 | task.cim.ph5.st1.t1 | task.cim.ph5.st1.t2 | task.cim.ph5.st2.t1 | task.cim.ph5.st3.t1,CS-CIM-ARTIFACT-DOMAIN-STRUCTURE-V1,simulated-produced-and-reviewed
cim-artifact.glossary,Ubiquitous Language Glossary,,cim,task.cim.ph2.st3.t1,task.cim.ph3.st1.ss1.t1 | task.cim.ph3.st1.ss2.t1 | task.cim.ph3.st2.ss1.t1,CS-CIM-ARTIFACT-GLOSSARY-V1,simulated-produced-and-reviewed
cim-artifact.governance-package,Governance Constraint Package,,cim,task.cim.ph5.st1.t2,task.cim.ph5.st2.t1 | task.cim.ph5.st3.t1 | task.cim.ph5.st4.t1,CS-CIM-ARTIFACT-GOVERNANCE-PACKAGE-V1,simulated-produced-and-reviewed
cim-artifact.increment-plan,CIM Increment Plan,,cim,task.cim.ph1.st2.t1,task.cim.ph1.st3.t1 | task.cim.ph1.st3.t2 | task.cim.ph2.st1.t1 | task.cim.ph5.st4.t1,CS-CIM-ARTIFACT-INCREMENT-PLAN-V1,simulated-produced-and-reviewed
cim-artifact.increment-review,CIM Increment Review Record,,cim,task.cim.ph5.st4.t1,,CS-CIM-ARTIFACT-INCREMENT-REVIEW-V1,simulated-produced-and-reviewed
cim-artifact.information-taxonomy,Information Taxonomy,,cim,task.cim.ph3.st1.ss1.t1 | task.cim.ph3.st1.ss2.t1,task.cim.ph3.st1.ss2.t1 | task.cim.ph3.st2.ss1.t1 | task.cim.ph3.st2.ss2.t1 | task.cim.ph3.st3.ss2.t1 | task.cim.ph5.st1.t2,CS-CIM-ARTIFACT-INFORMATION-TAXONOMY-V1,simulated-produced-and-reviewed
cim-artifact.model-root,CIM Model Root,,cim,task.cim.ph1.st1.t1 | task.cim.ph1.st1.t2,task.cim.ph1.st1.t2 | task.cim.ph1.st2.t1,CS-CIM-ARTIFACT-MODEL-ROOT-V1,simulated-produced-and-reviewed
cim-artifact.participation-model,Participation Model,,cim,task.cim.ph2.st1.t1 | task.cim.ph2.st1.t2,task.cim.ph2.st1.t2 | task.cim.ph2.st2.t1 | task.cim.ph3.st3.ss1.t1 | task.cim.ph3.st3.ss2.t1 | task.cim.ph3.st3.ss3.t1 | task.cim.ph5.st1.t2,CS-CIM-ARTIFACT-PARTICIPATION-MODEL-V1,simulated-produced-and-reviewed
cim-artifact.process-model,Business Process Model,,cim,task.cim.ph4.st2.ss1.t1,task.cim.ph4.st2.ss2.t1 | task.cim.ph4.st3.t1 | task.cim.ph5.st3.t1,CS-CIM-ARTIFACT-PROCESS-MODEL-V1,simulated-produced-and-reviewed
cim-artifact.requirements-package,Requirements Package,,cim,task.cim.ph5.st1.t1,task.cim.ph5.st1.t2 | task.cim.ph5.st2.t1 | task.cim.ph5.st3.t1 | task.cim.ph5.st4.t1,CS-CIM-ARTIFACT-REQUIREMENTS-PACKAGE-V1,simulated-produced-and-reviewed
cim-artifact.strategic-intent,Strategic Intent Package,,cim,task.cim.ph1.st3.t1 | task.cim.ph1.st3.t2,task.cim.ph1.st3.t2 | task.cim.ph2.st1.t1 | task.cim.ph2.st1.t2 | task.cim.ph2.st2.t1 | task.cim.ph2.st2.t2 | task.cim.ph2.st3.t1 | task.cim.ph3.st1.ss1.t1 | task.cim.ph4.st2.ss1.t1 | task.cim.ph5.st1.t1 | task.cim.ph5.st1.t2 | task.cim.ph5.st3.t1 | task.cim.ph5.st4.t1,CS-CIM-ARTIFACT-STRATEGIC-INTENT-V1,simulated-produced-and-reviewed
