sourceProcess,elementType,id,name,sourceFile
end-to-end,RoleDefinition,role.product-owner,Product Owner,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.delivery-lead,Delivery Lead,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.business-modeler,Business Modeler,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.requirements-engineer,Requirements Engineer,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.domain-expert,Domain Expert,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.solution-architect,Solution Architect,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.cloud-platform-engineer,Cloud Platform Engineer,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.quality-engineer,Quality Engineer,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.security-engineer,Security Engineer,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.release-engineer,Release Engineer,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.service-owner,Service Owner,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.process-reviewer,Process Reviewer,mde/methodology/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.method-engineer,Method Engineer,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st1.t1,Define product outcomes and success measures,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st1.t2,Establish the initial release and increment hypothesis,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st2.t1,Assess context and method risks,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st2.t2,Define the tailored Definition of Ready and Done,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st3.t1,Define team ownership and interfaces,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st3.t2,Set coordination cadence and escalation paths,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st4.t1,Define quality and security control objectives,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st4.t2,Define operational and release strategy,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p0.increment-planning.t1,Plan the vertical increment,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p1.cim-modeling.t1,Run the CIM increment,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p2.cim-to-pim.t1,Execute and inspect CIM-to-PIM transformation,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p3.pim-refinement.t1,Run the PIM increment,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p4.pim-to-psm.t1,Execute and inspect PIM-to-PSM transformation,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p5.psm-refinement.t1,Run the PSM increment,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p6.m2t-generation.t1,Generate and fingerprint the artifact baseline,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p7.artifact-completion.t1,Run artifact readiness and accept the increment,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph2.st1.t1,Assemble the release candidate,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph2.st1.t2,Review release evidence and go/no-go criteria,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph2.st2.t1,Deploy and validate progressively,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph2.st2.t2,Complete handover and rollback rehearsal,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph2.st3.t1,Review release outcome and update roadmap,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph3.st1.t1,"Review SLOs, telemetry, and product outcomes",mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph3.st2.t1,Manage incidents and recovery,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph3.st2.t2,Perform problem and risk learning,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph3.st3.t1,Assess and propagate a change,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph3.st4.t1,"Inspect flow, quality, and coordination metrics",mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph4.st1.t1,Approve retirement scope and plan,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph4.st2.t1,Execute migration and data disposition,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph4.st2.t2,Decommission service and access,mde/methodology/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph4.st3.t1,Complete closure review,mde/methodology/process-definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.product-charter,Product and System Charter,mde/methodology/process-definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.method-profile,Situational Method Profile,mde/methodology/process-definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.team-topology,Team Topology and Dependency Map,mde/methodology/process-definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.increment-record,Increment Record,mde/methodology/process-definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.release-record,Release Record,mde/methodology/process-definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.operations-record,Operations and Learning Record,mde/methodology/process-definitions/end-to-end.json
end-to-end,WorkProductDefinition,e2e-artifact.retirement-record,Retirement and Closure Record,mde/methodology/process-definitions/end-to-end.json
end-to-end,Guidance,e2e.guid.incremental-vertical,Thin vertical increments,mde/methodology/process-definitions/end-to-end.json
end-to-end,Guidance,e2e.guid.human-in-loop,Human-in-the-loop transforms,mde/methodology/process-definitions/end-to-end.json
end-to-end,Guidance,e2e.guid.empirical-control,Empirical process control,mde/methodology/process-definitions/end-to-end.json
cim,RoleDefinition,role.product-owner,Product Owner,mde/methodology/process-definitions/cim.json
cim,RoleDefinition,role.delivery-lead,Delivery Lead,mde/methodology/process-definitions/cim.json
cim,RoleDefinition,role.domain-expert,Domain Expert,mde/methodology/process-definitions/cim.json
cim,RoleDefinition,role.business-modeler,Business Modeler,mde/methodology/process-definitions/cim.json
cim,RoleDefinition,role.requirements-engineer,Requirements Engineer,mde/methodology/process-definitions/cim.json
cim,RoleDefinition,role.security-engineer,Security & Privacy Engineer,mde/methodology/process-definitions/cim.json
cim,RoleDefinition,role.process-reviewer,Process Reviewer,mde/methodology/process-definitions/cim.json
cim,RoleDefinition,role.method-engineer,Method Engineer,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph1.st1.t1,Create CIM model root,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph1.st1.t2,Establish shared model contract and evidence conventions,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph1.st2.t1,Plan capability slice,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph1.st3.t1,Define business goals and KPIs,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph1.st3.t2,Identify stakeholders,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph2.st1.t1,Model actors and roles,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph2.st1.t2,Register external systems,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph2.st2.t1,Map business capabilities,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph2.st2.t2,Record capability dependencies,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph2.st3.t1,Define domain glossary,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph3.st1.ss1.t1,Define data classifications,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph3.st1.ss2.t1,Create information items,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph3.st2.ss1.t1,Model domain entities,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph3.st2.ss2.t1,Model value objects and relationships,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph3.st3.ss1.t1,Model commands and outcomes,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph3.st3.ss2.t1,Model queries,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph3.st3.ss3.t1,"Model events, errors, and conditions",mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph4.st1.t1,Define aggregate candidates,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph4.st2.ss1.t1,Model business processes,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph4.st2.ss2.t1,Define policies and decision tables,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph4.st3.t1,Synthesize bounded contexts,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph5.st1.t1,Formalize requirements,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph5.st1.t2,Apply governance constraints,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph5.st2.t1,Record transformation metadata,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph5.st3.t1,Complete trace and readiness,mde/methodology/process-definitions/cim.json
cim,TaskDefinition,task.cim.ph5.st4.t1,Review and adapt CIM increment,mde/methodology/process-definitions/cim.json
cim,WorkProductDefinition,cim-artifact.model-root,CIM Model Root,mde/methodology/process-definitions/cim.json
cim,WorkProductDefinition,cim-artifact.increment-plan,CIM Increment Plan,mde/methodology/process-definitions/cim.json
cim,WorkProductDefinition,cim-artifact.strategic-intent,Strategic Intent Package,mde/methodology/process-definitions/cim.json
cim,WorkProductDefinition,cim-artifact.participation-model,Participation Model,mde/methodology/process-definitions/cim.json
