sourceProcess,elementType,id,name,sourceFile
end-to-end,RoleDefinition,role.product-owner,Product Owner,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.delivery-lead,Delivery Lead,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.business-modeler,Business Modeler,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.requirements-engineer,Requirements Engineer,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.domain-expert,Domain Expert,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.solution-architect,Solution Architect,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.cloud-platform-engineer,Cloud Platform Engineer,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.quality-engineer,Quality Engineer,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.security-engineer,Security Engineer,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.release-engineer,Release Engineer,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.service-owner,Service Owner,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.process-reviewer,Process Reviewer,mde/process/process-definitions/end-to-end.json
end-to-end,RoleDefinition,role.method-engineer,Method Engineer,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st1.t1,Define product outcomes and success measures,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st1.t2,Establish the initial release and increment hypothesis,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st2.t1,Assess context and process-tailoring risks,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st2.t2,Define the tailored Definition of Ready and Done,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st3.t1,Define team ownership and interfaces,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st3.t2,Set coordination cadence and escalation paths,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st4.t1,Define quality and security control objectives,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.ph0.st4.t2,Define operational and release strategy,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p0.increment-planning.t1,Plan the vertical increment,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p1.cim-modeling.t1,Run the CIM increment,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p2.cim-to-pim.t1,Execute and inspect CIM-to-PIM transformation,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p3.pim-refinement.t1,Run the PIM increment,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p4.pim-to-psm.t1,Execute and inspect PIM-to-PSM transformation,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p5.psm-refinement.t1,Run the PSM increment,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p6.m2t-generation.t1,Generate and fingerprint the artifact baseline,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.p7.artifact-completion.t1,Run artifact readiness and accept the increment,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.rel.a1.t1,Assemble the release candidate,mde/process/process-definitions/end-to-end.json
end-to-end,TaskDefinition,task.e2e.rel.a1.t2,Review release evidence and go/no-go criteria,mde/process/process-definitions/end-to-end.json
